#HF transmitted power data for 2017-06-26
#HH:MM:SS.SSS, Tx1 , Rx1  , Tx2  , Rx2  , Tx3  , Rx3  , Tx4  , Rx4  , Tx5  , Rx5  , Tx6  , Rx6  , time to take sample

14:06:55.212,      ,000997,      ,000328,      ,000298,      ,000598,      ,000629,      ,000470,0.61553
14:06:56.242,      ,000972,      ,000324,      ,000172,      ,000601,      ,000627,      ,000470,0.60500
14:06:57.277,      ,000847,      ,000320,      ,000172,      ,000601,      ,000627,      ,000480,0.60914
14:06:58.314,      ,000988,      ,000324,      ,000168,      ,000597,      ,000624,      ,000469,0.60738
14:06:59.345,      ,000967,      ,000321,      ,000168,      ,000598,      ,000630,      ,000475,0.60728
14:07:00.375,      ,000974,      ,000323,      ,000167,      ,000589,      ,000629,      ,000483,0.60840
14:07:01.417,      ,000855,      ,000320,      ,000161,      ,000586,      ,000627,      ,000486,0.61756
14:07:02.446,      ,000693,      ,000319,      ,000161,      ,000587,      ,000633,      ,000472,0.61591
14:07:03.476,      ,000841,      ,000325,      ,000168,      ,000597,      ,000635,      ,000479,0.61124
14:07:04.507,      ,000966,      ,000317,      ,000165,      ,000591,      ,000630,      ,000478,0.60449
14:07:05.537,      ,000800,      ,000326,      ,000165,      ,000589,      ,000631,      ,000836,0.61425
14:07:06.568,      ,000969,      ,000322,      ,000162,      ,000589,      ,000632,      ,000490,0.60751
14:07:07.600,      ,000963,      ,000316,      ,000161,      ,000586,      ,000632,      ,000481,0.60319
14:07:08.630,      ,000958,      ,000319,      ,000164,      ,000593,      ,000633,      ,000480,0.61415
14:07:09.659,      ,000800,      ,000324,      ,000162,      ,000584,      ,000628,      ,000475,0.60980
14:07:10.688,      ,000966,      ,000313,      ,000158,      ,000585,      ,000630,      ,000488,0.60686
14:07:11.718,      ,000960,      ,000065,      ,000270,      ,000588,      ,000346,      ,000466,0.66402
14:07:12.754,      ,000673,      ,000316,      ,000156,      ,000586,      ,000345,      ,000473,0.65567
14:07:13.784,      ,000827,      ,000317,      ,000159,      ,000589,      ,000637,      ,000472,0.61420
14:07:14.821,      ,000971,      ,000317,      ,000160,      ,000590,      ,000633,      ,000730,0.61697
14:07:15.852,      ,000671,      ,000314,      ,000249,      ,000583,      ,000416,      ,000476,0.63543
14:07:16.884,      ,000994,      ,000318,      ,000156,      ,000582,      ,000632,      ,000473,0.60622
14:07:17.918,      ,000797,      ,000319,      ,000157,      ,000587,      ,000638,      ,000475,0.60942
14:07:18.950,      ,000966,      ,000316,      ,000156,      ,000582,      ,000377,      ,000473,0.60872
14:07:19.980,      ,000968,      ,000316,      ,000155,      ,000583,      ,000633,      ,000493,0.60513
14:07:21.010,      ,000888,      ,000314,      ,000155,      ,000583,      ,000637,      ,000491,0.61258
14:07:22.041,      ,000792,      ,000320,      ,000155,      ,000580,      ,000637,      ,000480,0.61218
14:07:23.073,      ,001013,      ,000325,      ,000153,      ,000575,      ,000641,      ,000473,0.60582
14:07:24.104,      ,001002,      ,000323,      ,000154,      ,000581,      ,000635,      ,000463,0.60697
14:07:25.142,      ,000689,      ,000068,      ,000260,      ,000564,      ,000347,      ,000829,0.70495
14:07:26.173,      ,000759,      ,000329,      ,000239,      ,001000,      ,000403,      ,000479,0.64697
14:07:27.204,      ,001001,      ,000113,      ,000245,      ,000587,      ,000633,      ,000823,0.62189
